Location_ID,Sensing_DateTime,Sensing_Date,Sensing_Time,Direction_1,Direction_2,Total_of_Directions
25,2026-06-02T19:30:00+05:30,2026-06-03,00:00,3,6,9
27,2026-06-02T19:25:00+05:30,2026-06-02,23:55,3,1,4
30,2026-06-02T19:26:00+05:30,2026-06-02,23:56,1,3,4
30,2026-06-02T19:32:00+05:30,2026-06-03,00:02,4,0,4
30,2026-06-02T19:33:00+05:30,2026-06-03,00:03,0,3,3
30,2026-06-02T19:34:00+05:30,2026-06-03,00:04,0,1,1
30,2026-06-02T19:35:00+05:30,2026-06-03,00:05,4,1,5
30,2026-06-02T19:37:00+05:30,2026-06-03,00:07,0,1,1
30,2026-06-02T19:39:00+05:30,2026-06-03,00:09,1,0,1
49,2026-06-02T19:26:00+05:30,2026-06-02,23:56,4,2,6
49,2026-06-02T19:28:00+05:30,2026-06-02,23:58,2,2,4
49,2026-06-02T19:31:00+05:30,2026-06-03,00:01,5,3,8
49,2026-06-02T19:34:00+05:30,2026-06-03,00:04,5,0,5
49,2026-06-02T19:36:00+05:30,2026-06-03,00:06,0,2,2
49,2026-06-02T19:39:00+05:30,2026-06-03,00:09,0,3,3
51,2026-06-02T19:34:00+05:30,2026-06-03,00:04,0,2,2
53,2026-06-02T19:26:00+05:30,2026-06-02,23:56,0,5,5
53,2026-06-02T19:31:00+05:30,2026-06-03,00:01,2,0,2
53,2026-06-02T19:34:00+05:30,2026-06-03,00:04,1,0,1
56,2026-06-02T19:25:00+05:30,2026-06-02,23:55,0,1,1
56,2026-06-02T19:27:00+05:30,2026-06-02,23:57,1,0,1
58,2026-06-02T19:25:00+05:30,2026-06-02,23:55,1,3,4
58,2026-06-02T19:33:00+05:30,2026-06-03,00:03,3,1,4
58,2026-06-02T19:34:00+05:30,2026-06-03,00:04,1,1,2
58,2026-06-02T19:35:00+05:30,2026-06-03,00:05,3,1,4
58,2026-06-02T19:38:00+05:30,2026-06-03,00:08,1,0,1
62,2026-06-02T19:25:00+05:30,2026-06-02,23:55,1,0,1
62,2026-06-02T19:28:00+05:30,2026-06-02,23:58,3,5,8
62,2026-06-02T19:29:00+05:30,2026-06-02,23:59,1,0,1
62,2026-06-02T19:31:00+05:30,2026-06-03,00:01,3,0,3
62,2026-06-02T19:32:00+05:30,2026-06-03,00:02,2,1,3
62,2026-06-02T19:33:00+05:30,2026-06-03,00:03,0,3,3
62,2026-06-02T19:34:00+05:30,2026-06-03,00:04,1,3,4
62,2026-06-02T19:35:00+05:30,2026-06-03,00:05,3,0,3
62,2026-06-02T19:38:00+05:30,2026-06-03,00:08,2,0,2
